負責部門,業務系統,風險程度,2020~2021自行查核次數,業務系統最後自行查核日期,業務系統負責人員,業務系統自行查核結果,最後稽核日期,稽核人員
商業金融處,信用卡系統,4,12,2020/7/8,洪忠怡,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/2/28,秦華哲,,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,龔琪凱,牛秀翰,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2021/6/3,黃冠彬,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/8/9,程伶心,,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/7/11,邵昌彥,NO,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/5/23,2020/5/2,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2021/5/4,熊強靜,,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/10/25,任鴻娟,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/10/15,鄒家萍,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/1/28,曾鴻宜,YES,2020/5/18,賀霖強
商業金融處,信用卡系統,4,12,2020/11/1,鄧玲瑞,YES,2020/5/18,賀霖強
商業金融處,CRM系統,3,10,2021/5/18,葉世中,YES,2020/5/4,施聖英
商業金融處,CRM系統,,10,2020/4/22,2020/7/17,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,2020/5/27,韋鈴凱,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,2020/11/10,盧韻正,YES,2020/5/4,施聖英
商業金融處,CRM系統,,10,2021/1/15,許忠忠,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,2020/2/18,任永哲,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,,黃怡政,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,,傅真珮,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,2020/6/19,田建永,YES,2020/5/4,施聖英
商業金融處,CRM系統,3,10,2021/4/25,唐佳珊,YES,2020/5/4,施聖英
商業金融處,信貸系統,5,8,,陸冠中,YES,2020/1/31,馮偉柏
